"run_id","proportion_of_habitat"
"603482201731237B",40.056
"997116061549960C",24.367
"355054015411669E",24.367
"291779598700013A",25.763
"181643988215327A",25.763
"927565877504291D",76.002
"23683137910364A",76.002
"812744573846460C",54.977
"702827179150913B",54.977
"851138171524907D",26.07
"997553019380483C",26.07
"265177105421417E",53.258
"343538776452317D",53.258
"780035428684539E",72.484
"807957985429823E",72.484
"230480725501467E",49.11
"266021274303944A",49.11
"193658325526776B",23.302
"102342836111566B",23.302
"655081509470331D",14.202
"610335465839636B",14.202
"931226395629604A",48.71
"249709815807121D",48.71
"758429997265562E",15.438
"19279888208074B",15.438
"101438133551406B",60.235
"135269527250877A",60.235
"655442340244242B",10.511
"570243293716880E",10.511
"953874745086817D",45.062
"395360996397170D",45.062
"368661914853708C",74.797
"166121219086464E",74.797
"274883043309956B",50.98
"446796802517211E",50.98
"504449070533020E",34.408
"895575391968813B",34.408
"224628566199424A",20.054
"604609392912539A",20.054
"696701711688751E",83.692
"23206288827790E",83.692
"988171863690949A",58.261
"166693899946020C",58.261
"545682655242929D",67.952
"568187113936568D",67.952
"845977639921715A",35.891
"65688831516142A",35.891
"197543477420263A",60.638
"186703870155174C",60.638
"75833003776796E",45.522
"938944505968927D",45.522
"257198113175528C",39.433
"336611959688481D",39.433
"616048915488525E",49.157
"67756818175950D",49.157
"98897124321004A",29.772
"305091207914815C",29.772
"360035902919739B",18.442
"323142648449007D",18.442
"505122705022669C",59.29
"477799143315693A",59.29
"217040496203608D",11.235
"985612291930752A",11.235
"272199604217724C",16.721
"478163646880647A",16.721
"369233919526909A",52.101
"805831164916043A",52.101
"494285460946531B",81.537
"162879010933323A",81.537
"695987278487425A",22.88
"842441602419628A",22.88
"474884527229708B",25.867
"893249028873592D",25.867
"287924242770174B",62.803
"392976080496630D",62.803
"488709332136921A",60.505
"129060176835479C",60.505
"182629264729773C",70.86
"544288802741014E",70.86
"127004930543033D",83.792
"19016686757621B",83.792
"381558287916561D",89.6
"714318918592029A",89.6
"183227370362141A",46.224
"540953774041777A",46.224
"785363500164846E",45.241
"867259087206970C",45.241
"890156585657578B",55.085
"847455019667241A",55.085
"783738121950575B",75.345
"622398697128342D",75.345
"987281007566394B",50.554
"36047937187718E",50.554
"399221315280945A",40.947
"873471062445676E",40.947
"402806753998776C",39.725
"286402143703387B",39.725
"413648763659853B",22.014
"353783786941838C",22.014
"825322153423356D",69.875
"292118395678861A",69.875
"247313343478639E",80.157
"687542691993647E",80.157
"269269671334430E",48.387
"699748625997566E",48.387
"827652955916260D",68.021
"801206498420646D",68.021
"782361147301447C",17.751
"13348759477214E",17.751
"409644347895108A",47.945
"44322867648187B",47.945
"226537666651578E",34.941
"73560417530429D",34.941
"928338957229282D",63.074
"813192937293894E",63.074
"572648483715021D",79.361
"128642212141663E",79.361
"907309507749847A",51.148
"679580094408307B",51.148
"463602589826642D",52.006
"434223501948304D",52.006
"34422398741610E",28.125
"293153459262261A",28.125
"293908498494478C",88.287
"364606353457074E",88.287
"974843571824725C",49.037
"748098145254672B",49.037
"217158752342610C",28.929
"717261456850156D",28.929
"829244623880791C",58.333
"705873881140003C",58.333
"64386943175047B",77.115
"786291932684595A",77.115
"139904144471864C",36.139
"162928888988144B",36.139
"971062637385230D",13.572
"219494688310728C",13.572
"795457025290991B",56.987
"791772256791655B",56.987
"151237159432941E",27.199
"840306776294742B",27.199
"100864919882187D",29.152
"8999884523908A",29.152
"666782377825064D",72.842
"601112003773146B",72.842
"871362314322540D",27.885
"110708452124698C",27.885
"599631753828279E",23.873
"925810510218735B",23.873
"48817118924822A",43.377
"886886186566367D",43.377
"685951103599204B",11.824
"912551143969096E",11.824
"985498264649402D",32.534
"513424817111918A",32.534
"850035816453052C",86.311
"644217429844423E",86.311
"942399334700408C",74.484
"63526055486137E",74.484
"561600240883384D",55.556
"959149615295130E",55.556
"930358227971710B",12.782
"691760531145001A",12.782
"75361861842311B",73.036
"941267507479423D",73.036
"72048827105927E",84.33
"550326966368091C",84.33
"342636849100196B",73.421
"379300226871030C",73.421
"297136630541970C",61.76
"189382018526270A",61.76
"580573889190670D",11.901
"259754043469754B",11.901
"967154246639309C",36.366
"475625595905510B",36.366
"985789914663568A",37.452
"247089557175664D",37.452
"707183075460932B",78.845
"207646068420294B",78.845
"208126151068526A",19.498
"757750829598007B",19.498
"568062883778578C",54.339
"288452666369346C",54.339
"341901288835182A",18.266
"667835648891514B",18.266
"775728603964931C",58.169
"980417446090932C",58.169
"837352539847171A",84.458
"773476076937416E",84.458
"497304987553325E",19.827
"559758819979023A",19.827
"384153043774801B",89.685
"796635572032795A",89.685
"250691716989184E",82.567
"66124744653276E",82.567
"468445003030167A",80.575
"756466665487687B",80.575
"976459726532876E",66.26
"58981748190853E",66.26
"577909725843299D",41.381
"709609982614380C",41.381
"289691301458019C",55.658
"246043894488272E",55.658
"984311286279845C",67.515
"697907761192438B",67.515
"781470043282013E",74.48
"66277251354898C",74.48
"395348541426420D",38.361
"367581995189633C",38.361
"911524364447865B",11.627
"694065592516729B",11.627
"932800126836040A",18.499
"912655202744261B",18.499
"143562296374839E",20.549
"600020932056239D",20.549
"226122472799208C",53.68
"695782045450071C",53.68
"931838618908383B",11.197
"364966344147344E",11.197
"493940210377601E",26.784
"228681996400918C",26.784
"126259140419645B",50.212
"605809828726185D",50.212
"649588592009319A",56.503
"40100295729856A",56.503
"489134556080055D",41.284
"536407718412038A",41.284
"583808147885547A",42.808
"708479236527440D",42.808
"269865702315157C",10.83
"666268154447486D",10.83
"523291129090351A",32.345
"357347108282729D",32.345
"629885768516053A",27.75
"770659530014811B",27.75
"959062652340308E",83.332
"648229485457986E",83.332
"728155433368363D",56.01
"862063958958501B",56.01
"584854136365519D",84.984
"49981294608698B",84.984
"856466880329938B",61.244
"703400489951570D",61.244
"932704438227078A",25.674
"671964177725330D",25.674
"998273962350814B",68.75
"192334022570268E",68.75
"683588705180507A",69.543
"378404351333981C",69.543
"997573905044747E",69.814
"333707758082461C",69.814
"937585819951895E",31.16
"738894801571088B",31.16
"991469716521937E",54.281
"944096569026306B",54.281
"775510887658974D",47.275
"178348821059979D",47.275
"546674196969736E",81.128
"463910764273837C",81.128
"156856239768692E",42.392
"433709462918177B",42.392
"798941938667060E",12.561
"256504044860476B",12.561
"22369982166352D",44.11
"8186723591043C",44.11
"25756600739822C",15.946
"736934704519335D",15.946
"137599552485506A",38.496
"476979361892370A",38.496
"93640619070156C",24.749
"723499251484734A",24.749
"770322351716775E",58.852
"487754755987433D",58.852
"946238827661081E",36.272
"563511267516955D",36.272
"779720098613591B",86.064
"368397445675277D",86.064
"725447216739428B",36.909
"998449421003477B",36.909
"917939736616613C",80.32
"918917556153440E",80.32
"994861983875975C",14.001
"962053220497269E",14.001
"159983321367539A",19.102
"108751305827688E",19.102
"442776346583869C",84.255
"25271028660473E",84.255
"475655655626838A",11.401
"950489046774384A",11.401
"767222426498433B",84.775
"781436274040254C",84.775
"502244581631866D",55.307
"167667113179391B",55.307
"295409151353320D",30.622
"807480724924620B",30.622
"52911432830941C",51.79
"342133810858060C",51.79
"191634745941757B",32.793
"857181745622680B",32.793
"294287624409229B",29.078
"44186308154488B",29.078
"355330450670711C",32.926
"95890100245456E",32.926
"384327373442174A",81.982
"50285182434303A",81.982
"524162528300974E",66.979
"935725666206313E",66.979
"62367092811514A",75.787
"889010539827056D",75.787
"484776303726713D",22.767
"353175857187604D",22.767
"207257660320142C",61.195
"262379263503509C",61.195
"717474252710757D",27.219
"872619280760202D",27.219
"864138409978054D",63.965
"239673295836767A",63.965
"251746151327790C",56.288
"46302618457947C",56.288
"127141811518126D",11.087
"101300338103393A",11.087
"536458860408348A",54.88
"505155355896079A",54.88
"687520856691876A",21.747
"391102209225188C",21.747
"627242646714015B",78.049
"268402170873850E",78.049
"108152478221542D",28.337
"260369391522952B",28.337
"626834339917129A",67.383
"928273600644741E",67.383
"86629445818030E",82.833
"179309544486750C",82.833
"353110087064638D",64.573
"7206751749764D",64.573
"745782269930065E",35.479
"555935919539002E",35.479
"726477089820967E",10.578
"937850895904624D",10.578
"145777219485512A",74.71
"677746894692688E",74.71
"584401321758383C",28.478
"153704809809643A",28.478
"358680224601090D",50.001
"832772700638555C",50.001
"336955133055320A",55.416
"750431917052279D",55.416
"704068850589772A",57.54
"356169447944326A",57.54
"403831227387454C",88.854
"219615237131689E",88.854
"917622911354704D",39.138
"614141484596976C",39.138
"68088569669381D",34.205
"545485790818864B",34.205
"35215717787348D",10.063
"807076320578582E",10.063
"992957059432370A",61.666
"302336455487398A",61.666
"87757718041029A",69.667
"974686689018937C",69.667
"337294530545146E",40.104
"705006579692430A",40.104
"595634341468132A",21.62
"320435926305001E",21.62
"424537857973130D",81.648
"662951851473993C",81.648
"249635622252429A",67.153
"740197356520250D",67.153
"798466320878395D",85.755
"192520631316977C",85.755
"742170733516317C",15.793
"574127954568362B",15.793
"676286578104373C",19.748
"128418737589492C",19.748
"899197856786601A",57.851
"323461948111137D",57.851
"209938513579146E",75.177
"562931686012059C",75.177
"282852559399238D",48.265
"976760701448517C",48.265
"61426913903292A",80.848
"973865901388862E",80.848
"433610017921055C",82.971
"77946909462034C",82.971
"941824472969509C",75.991
"216487687819927D",75.991
"982108607290894E",49.244
"445685215278449E",49.244
"343296215753708E",52.289
"740909561756066D",52.289
"329953022608686A",69.238
"957894520535647D",69.238
"572926951922438A",20.306
"260457201934041E",20.306
"928972447023948A",31.862
"587469753941079B",31.862
"142322318370217B",27.987
"437306965032638B",27.987
"590502422920005C",12.152
"205074431896695E",12.152
"715611558975048A",76.663
"728612469810845D",76.663
"119413915440904C",82.009
"92295584445811B",82.009
"186264501380256C",24.57
"970489883949687C",24.57
"221108708027686C",62.137
"647151854115275B",62.137
"467942492262870C",32.034
"91551017533407A",32.034
"901193746528933E",22.879
"131062740904473D",22.879
"536121805410065D",67.277
"719387480298656A",67.277
"407460320480215A",66.76
"566507564762751E",66.76
"91703016152893D",35.99
"709764448257343C",35.99
"962567801541148C",37.85
"961493521541749A",37.85
"714947872659644E",77.897
"183429858174272C",77.897
"112199671152618B",85.47
"236395342566193D",85.47
"367835694233843D",64.337
"8557119460373E",64.337
"605470793935296D",77.922
"961960953328574E",77.922
"638562730913054B",79.02
"763648004822099D",79.02
"537669405547131A",73.861
"134870641091386E",73.861
"148018483531253D",10.359
"48283488121180C",10.359
"130475716930871C",78.363
"226789345218728A",78.363
"574917326722596A",19.254
"252144105327869C",19.254
"740473603281336E",55.883
"688992219121571C",55.883
"216194940193325B",72.703
"290165210377047D",72.703
"15430619415346C",86.511
"384214413684105E",86.511
"515095491748690C",22.285
"244239359682407E",22.285
"492540542529011E",75.208
"576643391642106B",75.208
"265799408388687C",27.513
"995633154941731D",27.513
"219623816633622C",40.602
"940728627105404A",40.602
"705339219381540B",19.374
"325221168759120C",19.374
"890556625135996D",57.298
"454719582935923B",57.298
"234082637910747B",70.133
"992117170508149B",70.133
"390690979002861A",31.1
"263041266803947B",31.1
"50126409263621E",66.499
"197061328514282A",66.499
"143185262918605E",20.737
"235113744242498B",20.737
"329062540504037D",33.445
"866821448008357B",33.445
"908110747216542D",36.177
"620228493382887D",36.177
"47875884550108C",14.244
"428644804680946A",14.244
"329391024653665C",22.461
"474908826225506E",22.461
"686456749152546B",44.831
"459265230692086D",44.831
"904769577880159B",64.791
"211600296348985C",64.791
"223394333462236B",20.137
"265459725064639B",20.137
"618694667314690B",23.416
"166801254722466B",23.416
"712670109193476E",46.91
"538096468809924B",46.91
"915832146032333B",76.524
"611098493651585E",76.524
"603587640207391D",26.835
"16339063590853C",26.835
"674119075407804D",57.935
"705666559983478C",57.935
"196347510590340B",47.03
"903437789637494A",47.03
"355244239639007A",68.161
"941234999463363C",68.161
"470421576468022A",79.626
"494216695260771B",79.626
"398574466340002D",40.261
"624635144436381A",40.261
"151238571369290B",26.199
"465347663203822E",26.199
"585446766105789B",12.261
"563234775705403C",12.261
"266480544175301B",12.808
"556265310120847E",12.808
"867445385236569E",58.932
"233907719980816B",58.932
"708624027476572E",62.969
"84608848181429C",62.969
"780416418111760C",77.218
"887441481348818C",77.218
"740190145984534C",47.078
"81277064737527C",47.078
"260333252047754E",19.295
"648309427808919E",19.295
"532347704847464B",86.688
"178836500454480E",86.688
"371727508120702C",38.88
"373162507307982B",38.88
"108255771786041D",69.991
"755428479041435E",69.991
"962174039963443B",15.46
"771322720116866D",15.46
"403632274304217C",39.673
"832452371750528B",39.673
"175179001553C",47.398
"848262828411762E",47.398
"288088283322157E",44.681
"717142468547410C",44.681
"370504581773439E",38.06
"593279274692851A",38.06
"243883238313127B",16.07
"885508487443332B",16.07
"997365634436053A",82.477
"355916353578695C",82.477
"839750988601535B",68.127
"197121173090997E",68.127
"805529499368228E",60.077
"356508807416787C",60.077
"667952831757236D",62.486
"464268075651592E",62.486
"916861020479191C",79.31
"65928859052681B",79.31
"537489238009279E",86.354
"526461167916533D",86.354
"762100512991247D",44.439
"952885200643171C",44.439
"346723470363327D",71.267
"92195866991234B",71.267
"13965994455278B",34.743
"93365681599389C",34.743
"231916775340750C",16.571
"673138156972885B",16.571
"234983547783547D",48.417
"275786906732679E",48.417
"242574663162928D",17.059
"262436719339161B",17.059
"654627697118960B",30.837
"564735045966426A",30.837
"786379024791704E",14.623
"594353706823035A",14.623
"426575411913093D",75.415
"172220683795178E",75.415
"958400917657340A",69.68
"370402068527084D",69.68
"22597155451800B",88.081
"777633016088382A",88.081
"440378235829011B",76.757
"338062711062005A",76.757
"604638383108357D",48.096
"53638617539532B",48.096
"289843449417144D",75.758
"383834676903798C",75.758
"78324565309543C",25.099
"763360099069467B",25.099
"274768124718781A",41.801
"668381066569935D",41.801
"434240202331833D",65.251
"524718618818081E",65.251
"306892090252531B",32.293
"511236882326544D",32.293
"958090917436466C",88.952
"10378086356938A",88.952
"700311622019289E",33.407
"614673107117511B",33.407
"161731246642846A",75.479
"171128435092390C",75.479
"360298096362875A",34.564
"45353306591996D",34.564
"87047751449265E",51.638
"922438118299290C",51.638
"473795276650172A",53.948
"983555814051039A",53.948
"106819987300147B",85.577
"678548836282093B",85.577
"830592531268023A",69.111
"402980890120105C",69.111
"414916398811720B",65.142
"932322796444516A",65.142
"939016954884347A",59.683
"773906070709346B",59.683
"448119146395560A",68.248
"432254668141515D",68.248
"939118088913420C",48.625
"737844603348963D",48.625
"858891652354166A",70.38
"815517765182833C",70.38
"945355219513767B",18.236
"723460585317024E",18.236
"764512258369154E",59.772
"874033878061325C",59.772
"459992534265561C",15.145
"916194121530215B",15.145
"567738175516253B",43.904
"930212807206245B",43.904
"992488576190470B",58.987
"800860187365357D",58.987
"736608942776841A",35.115
"271180037118047A",35.115
"64521497802011A",20.448
"533127593348946C",20.448
"558723571474267B",43.709
"601116183665132B",43.709
"355774787388625C",52.989
"899559224828952B",52.989
"829559300296120D",33.756
"683272999903587A",33.756
"898429193345327C",16.261
"938469843770781D",16.261
"991160879165324E",63.849
"807501366315564E",63.849
"336518887339626C",67.308
"111060622478268D",67.308
"636221583806292D",72.242
"151285503181060D",72.242
"896760936784936C",73.922
"963598066428053A",73.922
"810084137567898E",14.746
"725805084070355B",14.746
"429598937508836B",34.268
"462261716636231E",34.268
"211244543177430C",53.873
"549616096716678C",53.873
"704633015722150A",51.872
"231658211224651E",51.872
"129847638381025D",63.78
"149737869605082B",63.78
"769349987283518D",78.757
"44403061888019E",78.757
"399229432367762A",57.607
"860447354000336A",57.607
"31955905416804A",70.222
"41974238145901E",70.222
"20639842690553D",37.136
"32278966000820B",37.136
"78156920188869B",84.639
"848779848107927D",84.639
"707064503330930D",27.82
"376617678999902C",27.82
"204779952072088C",14.958
"682357236349102D",14.958
"586152540746933C",71.015
"401886293833808E",71.015
"899327068944537A",83.22
"443671760013044D",83.22
"719729378656313C",24.136
"522707943792068E",24.136
"310167638583983E",28.832
"380899589277549B",28.832
"688939804045079E",28.737
"238045182892228C",28.737
"576222524717572C",42.973
"949447733663526E",42.973
"65652077721485D",18.036
"950239331798738A",18.036
"964460995500571C",64.249
"747975488582729E",64.249
"106005330140834C",20.164
"15907628028526B",20.164
"78865396683807D",37.669
"587755947009453A",37.669
"499043810955195E",49.708
"290521493326115E",49.708
"617291959869686C",35.422
"456102984003357E",35.422
"100569661702596D",80.717
"590196675040714A",80.717
"866055122112983A",59.408
"481698344526223D",59.408
"950744527340027C",89.341
"829140832261603D",89.341
"780929124041564A",46.748
"839553164864072B",46.748
"562594649447255B",69.414
"266595765012752A",69.414
"648946649373635A",89.635
"138711496664537B",89.635
"564457162536095D",25.282
"485791314337821E",25.282
"842629462205813A",16.337
"714912306499438A",16.337
"59237423126639A",33.264
"7465971217149D",33.264
"959886388836539B",49.579
"158251594071573B",49.579
"740038385226435A",42.147
"545824505955226C",42.147
"990911932715126B",39.225
"151825629073326D",39.225
"461432198186284E",60.357
"305304630123119C",60.357
"861413787583249C",50.88
"813594630200197A",50.88
"57330236363412B",67.786
"659166230139664D",67.786
"220123212709289B",47.15
"51806494194467E",47.15
"855747836295034C",21.307
"114021154511998A",21.307
"714009500507130A",70.307
"598629168474795B",70.307
"623897958811555E",48.03
"602859802313858E",48.03
"109739884833132C",70.609
"670957329592515B",70.609
"589429004311039A",45.859
"34171743858808E",45.859
"880626253256131C",37.557
"458498976480554E",37.557
"511372429229456D",63.574
"112226450904493A",63.574
"232280800866554C",17.853
"934148405115566D",17.853
"155655794405865C",80.913
"453548390610449C",80.913
"258468286068881A",56.818
"665505051291413E",56.818
"473974303485679A",38.622
"146425324218753A",38.622
"638640730690373B",24.514
"333071826947540D",24.514
"64692736933400A",89.412
"145761736739526C",89.412
"767564263443381B",81.476
"809575002030126A",81.476
"185988636829215B",12.428
"934733293918651D",12.428
"769924590218904A",11.338
"711544002988164A",11.338
"170511655017555C",71.458
"355445357706908E",71.458
"671602330440389E",10.318
"545996280711068C",10.318
"259645558013432A",60.436
"335334055617920C",60.436
"634260074192822A",65.463
"174439195993475C",65.463
"696791998457479B",87.164
"728970216094892D",87.164
"107761268517174E",66.208
"305376934544595B",66.208
"394117254484311A",53.497
"915171837362898E",53.497
"702288940766910D",58.023
"388497732904271B",58.023
"152529396589497C",28.485
"488259180199053D",28.485
"195490302542482C",54.601
"263128050676483B",54.601
"186675527189400A",73.315
"141917356886377A",73.315
"468547732830150C",46.003
"25792351515386D",46.003
"681445692248514D",73.765
"669387524656137D",73.765
"345195799971577D",34.658
"932300455910928A",34.658
"110726929081888C",89.024
"73536528408434A",89.024
"345947473525850A",26.528
"881134722136776E",26.528
"144575250430557B",18.988
"272834514562000D",18.988
"228940844449097E",34.876
"144643450427234D",34.876
"167925232196091B",24.838
"178294963126143C",24.838
"346532961923688D",89.95
"631977487956906D",89.95
"767046383778749C",31.549
"707396218855028C",31.549
"165925086602977C",75.845
"490764637957863B",75.845
"616345174546061B",85.639
"398840992315355A",85.639
"891662965057743C",84.055
"472586011236203B",84.055
"543702776298594D",29.93
"242043477893522E",29.93
"538294979612459A",41.991
"133457381503102B",41.991
"15311138140703A",60.962
"544711506998849B",60.962
"456309514802415C",49.474
"538625300774499B",49.474
"8412110442069E",64.523
"171438748345158D",64.523
"333961052891115E",16.696
"197744148446836B",16.696
"624666454300891B",53.345
"479862868710143E",53.345
"991676652557237C",49.911
"677256224368155C",49.911
"790693220963296A",36.021
"761655624754733D",36.021
"802537950244791B",78.176
"37679783903628A",78.176
"58603252638176C",48.74
"515848739975186A",48.74
"314954240101278D",77.77
"769811944622071A",77.77
"864740125691811C",38.994
"60019470040086E",38.994
"366306218401230A",43.315
"2116675450165D",43.315
"903817124615663B",15.013
"682765380883787A",15.013
"700040472625593E",36.868
"38075562080392B",36.868
"916487407909453E",24.954
"707140704949158B",24.954
"974368377565860E",37.114
"929797752557508A",37.114
"210032404926895C",42.07
"339726378094814C",42.07
"935975183742279C",78.116
"399183541251177E",78.116
"783760589927714D",28.002
"442021901894358D",28.002
"121319898895054E",69.003
"600070784874424B",69.003
"431310691083218A",62.424
"650097811742146B",62.424
"860713815181131D",46.819
"732693158767037C",46.819
"136569832539375B",46.668
"155129173906421C",46.668
"596159516396943E",65.872
"570390823135939E",65.872
"623705610766464C",80.468
"873369210228230B",80.468
"722554075800674B",17.287
"546726529940600C",17.287
"620523616002678B",24.285
"670299858924227E",24.285
"675422355727119C",70.799
"678799143287400B",70.799
"443133853956649C",47.758
"989057739969838E",47.758
"563518257081603C",15.524
"392375728779605B",15.524
"311504469750193B",56.882
"735169348301869B",56.882
"897052433172683B",27.532
"145185666514388B",27.532
"904447125527903E",71.581
"289645256440888C",71.581
"856184966303127D",16.911
"108524239049876E",16.911
"681319016961063D",71.329
"904997837088426A",71.329
"910212285249723A",23.762
"419713217954996D",23.762
"104372868311119D",78.948
"809927476960876A",78.948
"541690854775791A",35.828
"865268336230624E",35.828
"638216423643261B",74.051
"562930854970809A",74.051
"535315989984375D",13.883
"816063821486630C",13.883
"971325245379475E",73.632
"282904018925351E",73.632
"606317953427387C",75.649
"973995169077894A",75.649
"643880232023918C",40.37
"536727152733527D",40.37
"326756605394702A",55.271
"441015297640786B",55.271
"518414957423416E",57.057
"525871222610947B",57.057
"478958091900846B",68.719
"70581518387196E",68.719
"894294904013199E",56.794
"855882718687304B",56.794
"497190717727022C",45.742
"740810184513870E",45.742
"470814180101723C",22.172
"575222389812371A",22.172
"63109471911113B",53.167
"885102841178627D",53.167
"940571775288118D",74.365
"460417876113276E",74.365
"991765088428793B",46.45
"342761930130148B",46.45
"535387799992988A",79.743
"91550549672073D",79.743
"607584349235366C",34.511
"986345205538615B",34.511
"159555392876194C",72.567
"94296628681047E",72.567
"790565212824647A",31.297
"380141592257640A",31.297
"169391239838784B",13.942
"523283920238775C",13.942
"738724143365033D",10.643
"760064137346991D",10.643
"524533828372358D",11.49
"447356744590490E",11.49
"583241765273872C",70.652
"110780021579763A",70.652
"215542575690854E",88.389
"460154622565429B",88.389
"211874194588231E",48.191
"463952167331931B",48.191
"395801918320060E",72.78
"281902015428933A",72.78
"426647180413993A",66.138
"575309940214879A",66.138
"899347793373452E",43.129
"252143008884738A",43.129
"184936337370335E",59.178
"32629839665062E",59.178
"230804009296379A",73.543
"435785753809772A",73.543
"24825041146134E",11.941
"606675001589966A",11.941
"291718347134183A",21.929
"603706592284657C",21.929
"272801216329370A",25.703
"949399357852260B",25.703
"577878250211640E",79.896
"700495153002118C",79.896
"658345944171387E",72.034
"802509445547616C",72.034
"577527067782806A",59.238
"642371725724536E",59.238
"14992370887127C",22.612
"556630289813575B",22.612
"519872814200477B",32.191
"30160230988048E",32.191
"803858906149481C",27.366
"649954895132535B",27.366
"347106693714137C",36.796
"62925738253578B",36.796
"146093781300595D",81.1
"341316344295080E",81.1
"152186461607286B",35.188
"768613501648730A",35.188
"790832718310014E",41.558
"951902234229783A",41.558
"134977068257172D",64.014
"626386630157709E",64.014
"593278764609683E",83.088
"664258057605502E",83.088
"147076988475297B",64.472
"476348031883140E",64.472
"178027187284894B",64.657
"245293205994106B",64.657
"177572533453704E",73.066
"83012717480082C",73.066
"95107451881846B",21.41
"872928727327458B",21.41
"890971086201778C",45.385
"989143074446961B",45.385
"464574857838219E",52.785
"843895243788670B",52.785
"961841434515445C",56.118
"711703470891643B",56.118
"200476571937463C",16.22
"664755713177317D",16.22
"103784115755983C",37.777
"69477405060512B",37.777
"211684653909058D",35.697
"336312881258848D",35.697
"608376479946139E",50.716
"261668160918758A",50.716
"712273567556386A",73.163
"870005418814726D",73.163
"380806835868018A",17.475
"462521627768615B",17.475
"997093158235327C",61.931
"785760740655525A",61.931
"254113759503146B",37.361
"476089920506041E",37.361
"948447697564474A",38.16
"584348196952328E",38.16
"590896418514048D",79.159
"302738818357878A",79.159
"256752282683023D",27.025
"639247516939213B",27.025
"789953074025020E",30.055
"795456185026614E",30.055
"223512057921021E",58.14
"148808959894293A",58.14
"522552876523800D",57.824
"741696819284838D",57.824
"300524619994736C",81.214
"194784510768897B",81.214
"822737401572762D",14.477
"638114206189425C",14.477
"187152835277767D",37.33
"161757853326480E",37.33
"76800334377279E",84.135
"482256177412023A",84.135
"498888160743541A",87.354
"957470342003397D",87.354
"211081531731144C",17.244
"470026668992369D",17.244
"385685154430965C",88.532
"714573161884556B",88.532
"981571892269385E",45.332
"237703166827186C",45.332
"468732645274646A",49.838
"29341313753697E",49.838
"676917142971189E",13.658
"174310342368233A",13.658
"996394690484502D",22.336
"955027848221406D",22.336
"145976518190222E",44.783
"466767238437028C",44.783
"603071446249904C",75.093
"181152085488982A",75.093
"766164284636853E",81.764
"763752171610934C",81.764
"199097015749366A",41.448
"990371139276994A",41.448
"408883962478055E",20.714
"685554244431360C",20.714
"676395777305133D",23.012
"909651058318444E",23.012
"234906659296555C",21.918
"781497956068370A",21.918
"164700519358798C",36.987
"488763648468135A",36.987
"629499644511945A",40.797
"15706481246801A",40.797
"701145893456724A",56.704
"141333973547137E",56.704
"513360861253042A",82.738
"735467577665914E",82.738
"700361381368317D",68.848
"18759364330612D",68.848
"312311485776020C",78.713
"600911598475610D",78.713
"508700708365369D",85.969
"77952635912106E",85.969
"96450792200712E",79.967
"839289444590257C",79.967
"455324594635899A",62.179
"540999690716334C",62.179
"631273003322468A",41.124
"904835641868359A",41.124
"878260034202921B",28.272
"803554105146716C",28.272
"746046878002740A",25.271
"854036199962398C",25.271
"407751568088091E",40.535
"647027139205750B",40.535
"676718977818556D",42.731
"401453645245851B",42.731
"244863411071384E",77.492
"498078534592855B",77.492
"736355681573230D",62.618
"145039340209355A",62.618
"174810654168997B",26.479
"446457962423597C",26.479
"793614131474908E",48.819
"91712198039282B",48.819
"621626401535213A",42.504
"620495048153743A",42.504
"505376584518426C",42.473
"624830094578933D",42.473
"590090599073564A",13.072
"994665130554681C",13.072
"142169806584445D",88.451
"269809771744674D",88.451
"753534666515431C",50.355
"916966466065948B",50.355
"932638209149025B",12.371
"167305868732001E",12.371
"422334467623183A",55.493
"798195053516570E",55.493
"530995841528890E",14.362
"997728687943821E",14.362
"141901139911734B",40.992
"819835831830515B",40.992
"364613838151792B",73.475
"155375514604686A",73.475
"626173383586421E",35.555
"219525105735252E",35.555
"680681828963653A",70.037
"483451143394422C",70.037
"392305782952936D",87.958
"917790130524455E",87.958
"775637762426952B",43.961
"194668085954402C",43.961
"440994149479252E",47.528
"335531788846208A",47.528
"942905498377264D",12.71
"556257509850142B",12.71
"4273175232325E",71.982
"592127455464526C",71.982
"276582778425993D",28.657
"41459073155035C",28.657
"826831701043653C",79.585
"550911460025690D",79.585
"584969148739043E",31.485
"775626917577130C",31.485
"105287818224303C",31.23
"817841231951122C",31.23
"458789593995161D",27.678
"287153625338650A",27.678
"263043375410318A",42.274
"780397879263028D",42.274
"976542460345164B",32.662
"832923560733585E",32.662
"124811582126814C",60.795
"246174363822202B",60.795
"267222296431140C",57.71
"407848731547200B",57.71
"689356749881125A",59.569
"77067754410394E",59.569
"922334986751370E",16.857
"558231659175629B",16.857
"228196424806463E",58.694
"429164294193474C",58.694
"918072532004571A",89.102
"822364574147924D",89.102
"629089298466264D",22.153
"244661333284533E",22.153
"867764687669297E",76.21
"176534812437293C",76.21
"990883092962406C",36.638
"835758098110797B",36.638
"56002308405584A",30.285
"551750110046183A",30.285
"567443021446151E",63.222
"442502052178018B",63.222
"234590604049224A",17.126
"392270813285395A",17.126
"204473337461071B",29.258
"215112687481271D",29.258
"818277870267836E",61.435
"66757937202022C",61.435
"830341471163752C",36.707
"724362730984067C",36.707
"324833641335758C",82.51
"216825556128728E",82.51
"250551296161683B",52.876
"548310924093026E",52.876
"51046640895519D",79.202
"74098896411724D",79.202
"570616371049275C",45.672
"336318785956876A",45.672
"860935981156176B",19.658
"82782299580942B",19.658
