N_individuals,steps,scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,total_crossings,assess_top_sections
100,500,8,85,62,25,139,779,0.417
100,500,8,63,54,19,103,903,0.385
100,500,8,73,33,15,145,1176,0.367
100,500,8,73,33,15,148,1006,0.386
100,500,8,82,38,33,148,1067,0.556
100,500,8,82,33,15,145,895,0.415
100,500,8,35,70,12,149,1003,0.376
100,500,8,34,58,19,103,885,0.393
100,500,8,73,33,33,145,1263,0.552
100,500,8,73,38,15,145,1060,0.382
100,500,8,68,71,12,127,760,0.382
100,500,8,68,71,34,127,999,0.496
100,500,8,68,71,34,149,1101,0.503
100,500,8,35,71,34,127,906,0.446
100,500,8,68,70,34,127,1037,0.496
100,500,8,16,11,28,111,632,0.75
100,500,8,63,11,28,111,969,0.458
100,500,8,16,11,28,152,623,0.849
100,500,8,63,20,41,152,1289,0.697
100,500,8,16,11,41,111,820,0.612
100,500,8,16,20,28,111,763,0.646
100,500,8,84,54,37,108,824,0.466
100,500,8,12,58,37,108,812,0.484
100,500,8,12,58,37,167,1267,0.564
100,500,8,84,58,37,167,1018,0.567
100,500,8,12,58,37,167,1267,0.564
100,500,8,12,54,37,167,1128,0.574
100,500,8,86,37,35,136,953,0.504
100,500,8,86,37,35,154,965,0.545
100,500,8,13,67,16,109,702,0.382
100,500,8,81,57,40,136,1108,0.497
100,500,8,81,37,35,154,1044,0.614
100,500,8,41,37,9,109,880,0.402
100,500,8,13,67,16,97,648,0.397
100,500,8,41,67,16,97,771,0.366
100,500,8,86,57,35,154,1014,0.468
100,500,8,86,37,40,154,1277,0.521
100,500,8,41,19,29,112,1188,0.412
100,500,8,13,37,16,97,688,0.465
100,500,8,45,51,29,112,976,0.416
100,500,8,13,67,9,97,742,0.381
100,500,8,41,19,29,155,1301,0.503
100,500,8,45,19,29,155,1140,0.527
100,500,8,41,51,29,155,1125,0.453
100,500,8,57,86,27,164,1052,0.431
100,500,8,41,19,29,155,1301,0.503
100,500,8,30,49,37,164,1587,0.636
100,500,8,30,49,37,140,1238,0.54
100,500,8,30,49,27,140,1233,0.505
100,500,8,57,49,37,140,1181,0.477
100,500,8,20,28,14,160,1154,0.57
100,500,8,20,28,14,93,861,0.425
100,500,8,23,28,14,93,909,0.428
100,500,8,30,86,37,140,1013,0.503
100,500,8,76,89,23,119,698,0.397
100,500,8,76,89,23,129,759,0.374
100,500,8,20,56,14,93,742,0.384
100,500,8,65,89,23,129,831,0.408
100,500,8,23,56,41,160,1441,0.599
100,500,8,20,28,41,93,952,0.472
100,500,8,76,67,23,129,826,0.39
100,500,8,65,67,19,119,795,0.386
100,500,8,76,89,19,129,833,0.402
