"","[run number]","proportion_of_habitat","matrix_permeability","perceptual_range","vision_angle","random-seed","[step]","total_crossings","assess_top_sections","siminputrow"
"330",1,69,23,34,167,1560180808,499,1011,0.493,330
"331",1,29,29,22,180,1560180808,499,694,0.865,331
"332",1,49,87,39,101,1560180808,499,830,0.44,332
"333",1,16,29,10,115,1560180808,499,383,0.397,333
"334",1,24,20,34,91,1560180808,499,483,0.511,334
"335",1,65,80,37,100,1560180808,499,830,0.405,335
"336",1,23,28,20,125,1560180808,499,341,0.625,336
"337",1,47,16,22,103,1560180808,499,444,0.687,337
"338",1,84,81,6,130,1560180808,499,464,0.384,338
"339",1,40,67,31,107,1560180808,499,732,0.458,339
"340",1,45,47,12,101,1560180808,499,479,0.505,340
"341",1,71,43,36,173,1560180808,499,997,0.503,341
"342",1,69,71,28,141,1560180808,499,823,0.436,342
"343",1,83,25,30,126,1560180808,499,686,0.442,343
"344",1,19,13,36,123,1560180808,499,784,0.735,344
"345",1,83,77,9,126,1560180808,499,642,0.38,345
"346",1,86,73,32,174,1560180808,499,1033,0.47,346
"347",1,46,19,24,160,1560180808,499,484,0.884,347
"348",1,59,13,24,96,1560180808,499,689,0.466,348
"349",1,48,62,17,148,1560180808,499,541,0.512,349
"350",1,65,44,27,100,1560180808,499,704,0.398,350
"351",1,34,74,30,114,1560180808,499,797,0.427,351
"352",1,60,54,18,141,1560180808,499,741,0.447,352
"353",1,11,53,28,162,1560180808,499,672,0.484,353
"354",1,89,16,36,130,1560180808,499,810,0.512,354
"355",1,13,89,30,160,1560180808,499,798,0.432,355
"356",1,17,53,11,103,1560180808,499,466,0.38,356
"357",1,36,16,10,153,1560180808,499,375,0.888,357
"358",1,85,70,21,136,1560180808,499,732,0.433,358
"359",1,34,65,10,117,1560180808,499,475,0.44,359
"360",1,21,46,15,144,1560180808,499,465,0.484,360
"361",1,50,49,28,157,1560180808,499,498,0.618,361
"362",1,26,53,33,129,1560180808,499,753,0.551,362
"363",1,14,57,23,113,1560180808,499,513,0.444,363
"364",1,46,62,9,176,1560180808,499,394,0.558,364
"365",1,33,85,13,136,1560180808,499,578,0.37,365
"366",1,46,17,33,136,1560180808,499,476,0.742,366
"367",1,88,77,40,92,1560180808,499,789,0.442,367
"368",1,74,74,34,167,1560180808,499,752,0.459,368
"369",1,74,73,29,148,1560180808,499,790,0.459,369
"370",1,29,11,25,142,1560180808,499,659,0.809,370
"371",1,72,11,8,171,1560180808,499,523,0.625,371
"372",1,47,88,37,116,1560180808,499,800,0.451,372
"373",1,41,73,26,153,1560180808,499,553,0.438,373
"374",1,56,83,34,157,1560180808,499,1006,0.471,374
"375",1,58,88,18,123,1560180808,499,562,0.407,375
"376",1,70,55,34,146,1560180808,499,955,0.477,376
"377",1,41,72,41,151,1560180808,499,999,0.555,377
"378",1,30,25,29,135,1560180808,499,764,0.703,378
"379",1,11,85,29,172,1560180808,499,710,0.463,379
"380",1,54,81,29,153,1560180808,499,853,0.474,380
"381",1,68,11,23,99,1560180808,499,680,0.446,381
"382",1,21,71,36,121,1560180808,499,901,0.493,382
"383",1,38,18,14,164,1560180808,499,428,0.839,383
"384",1,81,87,19,117,1560180808,499,676,0.383,384
"385",1,63,58,40,118,1560180808,499,1091,0.496,385
"386",1,30,57,15,116,1560180808,499,475,0.486,386
"387",1,32,35,42,91,1560180808,499,788,0.486,387
"388",1,90,73,8,111,1560180808,499,580,0.39,388
"389",1,37,45,21,178,1560180808,499,488,0.717,389
"390",1,30,43,36,143,1560180808,499,873,0.605,390
"391",1,44,27,33,113,1560180808,499,572,0.57,391
"392",1,57,15,6,91,1560180808,499,563,0.421,392
"393",1,37,36,37,92,1560180808,499,664,0.492,393
"394",1,89,70,12,159,1560180808,499,616,0.433,394
"395",1,13,27,33,134,1560180808,499,577,0.588,395
"396",1,85,19,35,94,1560180808,499,872,0.433,396
"397",1,18,19,18,156,1560180808,499,341,0.672,397
"398",1,78,76,29,131,1560180808,499,981,0.402,398
"399",1,55,83,19,168,1560180808,499,748,0.404,399
"400",1,35,78,19,149,1560180808,499,675,0.484,400
"401",1,48,26,33,112,1560180808,499,591,0.628,401
"402",1,85,28,10,137,1560180808,499,657,0.44,402
"403",1,90,78,34,165,1560180808,499,966,0.516,403
"404",1,29,62,27,131,1560180808,499,587,0.453,404
"405",1,35,62,15,179,1560180808,499,569,0.605,405
"406",1,40,30,10,170,1560180808,499,564,0.833,406
"407",1,43,81,24,96,1560180808,499,646,0.387,407
"408",1,81,52,13,167,1560180808,499,594,0.436,408
"409",1,21,48,13,140,1560180808,499,429,0.462,409
"410",1,34,23,17,133,1560180808,499,537,0.695,410
"411",1,20,69,37,119,1560180808,499,846,0.466,411
"412",1,77,16,14,147,1560180808,499,549,0.588,412
"413",1,15,25,25,159,1560180808,499,382,0.576,413
"414",1,14,88,7,103,1560180808,499,559,0.392,414
"415",1,49,26,19,91,1560180808,499,422,0.581,415
"416",1,20,46,22,94,1560180808,499,564,0.429,416
"417",1,36,80,27,135,1560180808,499,588,0.432,417
"418",1,82,25,18,178,1560180808,499,713,0.534,418
"419",1,84,82,25,95,1560180808,499,729,0.373,419
"420",1,18,17,34,113,1560180808,499,641,0.641,420
"421",1,82,12,18,108,1560180808,499,528,0.468,421
"422",1,14,70,42,150,1560180808,499,999,0.53,422
"423",1,30,18,14,127,1560180808,499,585,0.752,423
"424",1,60,69,34,135,1560180808,499,980,0.462,424
"425",1,68,23,24,152,1560180808,499,798,0.466,425
"426",1,64,25,30,100,1560180808,499,907,0.43,426
"427",1,22,34,41,166,1560180808,499,765,0.732,427
"428",1,39,40,22,174,1560180808,499,742,0.767,428
"429",1,36,62,12,130,1560180808,499,570,0.398,429
"430",1,57,77,39,94,1560180808,499,853,0.428,430
"431",1,27,49,18,157,1560180808,499,758,0.649,431
"432",1,65,22,26,150,1560180808,499,1033,0.493,432
"433",1,69,86,36,158,1560180808,499,1050,0.514,433
"434",1,45,36,33,161,1560180808,499,657,0.674,434
"435",1,86,67,26,136,1560180808,499,761,0.423,435
"436",1,19,75,38,152,1560180808,499,956,0.519,436
"437",1,83,21,29,110,1560180808,499,735,0.399,437
"438",1,56,67,31,166,1560180808,499,841,0.47,438
"439",1,81,10,32,106,1560180808,499,651,0.461,439
"440",1,23,43,24,179,1560180808,499,418,0.72,440
"441",1,74,55,14,158,1560180808,499,511,0.448,441
"442",1,24,59,19,175,1560180808,499,481,0.582,442
"443",1,86,42,27,128,1560180808,499,838,0.428,443
"444",1,83,38,40,119,1560180808,499,876,0.457,444
"445",1,35,46,18,137,1560180808,499,631,0.758,445
"446",1,21,69,10,98,1560180808,499,602,0.359,446
"447",1,63,82,28,105,1560180808,499,785,0.397,447
"448",1,39,82,6,140,1560180808,499,541,0.403,448
"449",1,52,17,22,166,1560180808,499,836,0.705,449
"450",1,21,13,15,138,1560180808,499,236,0.623,450
"451",1,21,67,41,90,1560180808,499,765,0.443,451
"452",1,81,75,34,173,1560180808,499,996,0.451,452
"453",1,73,75,29,112,1560180808,499,761,0.449,453
"454",1,68,83,39,162,1560180808,499,1067,0.464,454
"455",1,38,15,10,164,1560180808,499,486,0.868,455
"456",1,81,34,32,125,1560180808,499,859,0.444,456
"457",1,65,56,38,167,1560180808,499,1123,0.476,457
"458",1,16,34,30,95,1560180808,499,577,0.456,458
"459",1,21,52,32,144,1560180808,499,688,0.522,459
"460",1,26,76,13,101,1560180808,499,662,0.399,460
"461",1,45,11,7,178,1560180808,499,279,0.871,461
"462",1,65,31,26,136,1560180808,499,898,0.443,462
"463",1,45,76,14,114,1560180808,499,528,0.403,463
"464",1,15,21,34,129,1560180808,499,568,0.521,464
"465",1,18,16,14,124,1560180808,499,332,0.572,465
"466",1,19,68,27,136,1560180808,499,714,0.438,466
"467",1,62,69,26,155,1560180808,499,869,0.433,467
"468",1,37,14,30,144,1560180808,499,555,0.827,468
"469",1,42,10,32,103,1560180808,499,594,0.678,469
"470",1,57,66,32,105,1560180808,499,858,0.421,470
"471",1,45,54,11,152,1560180808,499,501,0.493,471
"472",1,59,59,9,105,1560180808,499,651,0.407,472
"473",1,12,36,15,174,1560180808,499,369,0.488,473
"474",1,42,76,23,124,1560180808,499,668,0.427,474
"475",1,64,42,20,107,1560180808,499,659,0.426,475
"476",1,35,63,33,170,1560180808,499,880,0.55,476
"477",1,57,22,16,171,1560180808,499,486,0.728,477
"478",1,65,30,9,152,1560180808,499,525,0.491,478
"479",1,58,29,37,171,1560180808,499,1015,0.592,479
"480",1,69,82,22,141,1560180808,499,868,0.395,480
"481",1,72,51,15,142,1560180808,499,655,0.444,481
"482",1,43,89,34,164,1560180808,499,919,0.453,482
"483",1,49,82,36,93,1560180808,499,801,0.438,483
"484",1,65,79,27,144,1560180808,499,748,0.46,484
"485",1,36,30,35,106,1560180808,499,635,0.524,485
"486",1,37,71,9,149,1560180808,499,488,0.393,486
"487",1,82,87,25,99,1560180808,499,645,0.416,487
"488",1,28,60,17,138,1560180808,499,724,0.468,488
"489",1,33,27,30,173,1560180808,499,664,0.803,489
