N_individuals,steps,landscape_area,habitat_area,matrix_area,type_scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,total_crossings,assess_top_sections
100,500,7056,1829,5143,8,24,70,39,141,968,0.506
100,500,7056,2736,4236,8,39,47,21,134,611,0.453
100,500,7056,2671,4301,8,37,77,26,142,739,0.455
100,500,7056,1829,5143,8,24,75,39,108,891,0.458
100,500,7056,6188,784,8,88,21,5,92,648,0.363
100,500,7056,4135,2837,8,61,32,21,134,436,0.608
100,500,7056,3055,3917,8,44,31,37,92,609,0.509
100,500,7056,4624,2348,8,66,84,8,126,636,0.385
100,500,7056,4227,2745,8,62,31,16,179,288,0.691
100,500,7056,4624,2348,8,66,16,20,97,458,0.513
100,500,7056,3055,3917,8,44,90,14,94,571,0.413
100,500,7056,5753,1219,8,83,73,39,153,1089,0.494
100,500,7056,1889,5083,8,25,90,17,147,651,0.406
100,500,7056,3409,3563,8,51,70,38,109,833,0.474
100,500,7056,2296,4676,8,32,74,36,114,864,0.455
100,500,7056,4227,2745,8,62,38,39,99,713,0.449
100,500,7056,6024,948,8,86,25,30,178,1068,0.515
100,500,7056,3274,3698,8,49,85,16,174,707,0.444
100,500,7056,4792,2180,8,68,77,26,165,707,0.44
100,500,7056,3078,3894,8,47,45,42,172,675,0.569
100,500,7056,3535,3437,8,54,23,32,131,372,0.594
100,500,7056,2605,4367,8,36,84,25,125,701,0.398
100,500,7056,5163,1809,8,74,71,37,173,973,0.565
100,500,7056,1060,5912,8,13,24,9,97,437,0.442
100,500,7056,1256,5716,8,15,76,24,117,581,0.401
100,500,7056,1331,5641,8,16,53,41,155,924,0.512
100,500,7056,1361,5611,8,17,34,34,133,438,0.498
100,500,7056,3503,3469,8,53,82,25,133,686,0.415
100,500,7056,5248,1724,8,75,11,23,100,590,0.488
100,500,7056,886,6086,8,10,73,20,93,594,0.402
100,500,7056,1982,4990,8,27,25,11,145,420,0.624
100,500,7056,6151,821,8,87,40,30,140,820,0.473
100,500,7056,1927,5045,8,26,88,12,151,633,0.417
100,500,7056,1982,4990,8,27,69,30,127,672,0.427
100,500,7056,1721,5251,8,22,28,32,98,609,0.456
100,500,7056,3973,2999,8,59,55,8,109,472,0.398
100,500,7056,2782,4190,8,40,33,40,122,651,0.584
100,500,7056,1614,5358,8,20,85,5,155,585,0.357
100,500,7056,6188,784,8,88,58,34,93,774,0.421
100,500,7056,2170,4802,8,31,18,20,178,316,0.649
100,500,7056,5707,1265,8,82,83,34,159,1012,0.459
100,500,7056,4135,2837,8,61,25,26,93,506,0.474
100,500,7056,3055,3917,8,44,16,29,179,215,0.814
100,500,7056,4301,2671,8,63,74,7,91,578,0.351
100,500,7056,2372,4600,8,33,29,28,99,613,0.427
100,500,7056,1889,5083,8,25,54,35,126,755,0.503
100,500,7056,3055,3917,8,44,90,15,153,623,0.379
100,500,7056,4990,1982,8,71,52,20,120,579,0.451
100,500,7056,3064,3908,8,45,79,7,142,543,0.403
100,500,7056,5364,1608,8,77,87,37,112,876,0.446
100,500,7056,984,5988,8,12,35,38,122,697,0.455
100,500,7056,5248,1724,8,75,24,15,109,486,0.504
100,500,7056,2296,4676,8,32,86,8,168,591,0.425
100,500,7056,4624,2348,8,66,29,13,150,340,0.594
100,500,7056,3326,3646,8,50,20,16,166,276,0.667
100,500,7056,4743,2229,8,67,80,19,143,717,0.421
100,500,7056,5964,1008,8,85,46,21,139,756,0.446
100,500,7056,1331,5641,8,16,54,26,148,563,0.504
100,500,7056,5163,1809,8,74,73,11,126,606,0.375
100,500,7056,3535,3437,8,54,26,40,154,422,0.668
100,500,7056,1721,5251,8,22,38,16,149,388,0.503
100,500,7056,1136,5836,8,14,79,36,97,804,0.439
100,500,7056,1060,5912,8,13,14,26,177,150,0.753
100,500,7056,4135,2837,8,61,36,27,129,433,0.573
100,500,7056,2412,4560,8,35,81,38,161,908,0.487
100,500,7056,4135,2837,8,61,74,27,153,653,0.461
100,500,7056,5248,1724,8,75,24,16,138,589,0.48
100,500,7056,5163,1809,8,74,52,11,169,546,0.504
100,500,7056,4075,2897,8,60,84,18,116,629,0.374
100,500,7056,3055,3917,8,44,88,13,118,609,0.373
100,500,7056,1829,5143,8,24,24,18,170,307,0.651
100,500,7056,3012,3960,8,43,57,22,102,551,0.457
100,500,7056,5588,1384,8,80,83,9,129,628,0.382
100,500,7056,953,6019,8,11,12,19,94,429,0.538
100,500,7056,984,5988,8,12,41,27,129,607,0.407
100,500,7056,1778,5194,8,23,66,28,153,727,0.429
100,500,7056,2011,4961,8,28,27,25,143,524,0.525
100,500,7056,5397,1575,8,78,87,30,111,828,0.424
100,500,7056,3763,3209,8,57,46,31,139,468,0.528
100,500,7056,3427,3545,8,52,19,16,124,365,0.6
100,500,7056,1256,5716,8,15,37,39,122,600,0.467
100,500,7056,4792,2180,8,68,34,13,171,495,0.614
100,500,7056,1546,5426,8,19,34,21,157,228,0.513
100,500,7056,2832,4140,8,41,24,42,95,698,0.513
100,500,7056,4914,2058,8,69,70,17,156,676,0.436
100,500,7056,5447,1525,8,79,27,23,130,796,0.433
100,500,7056,1361,5611,8,17,66,14,179,456,0.406
100,500,7056,3503,3469,8,53,60,22,177,469,0.463
100,500,7056,3076,3896,8,46,31,27,140,368,0.59
100,500,7056,3612,3360,8,55,34,14,105,403,0.457
100,500,7056,2114,4858,8,29,77,18,148,592,0.458
100,500,7056,2605,4367,8,36,63,33,109,677,0.437
100,500,7056,1778,5194,8,23,43,9,106,571,0.447
100,500,7056,5321,1651,8,76,54,34,168,1072,0.478
100,500,7056,2372,4600,8,33,49,19,172,456,0.454
100,500,7056,3078,3894,8,47,46,31,177,469,0.586
100,500,7056,1614,5358,8,20,11,9,111,360,0.536
100,500,7056,1539,5433,8,18,63,39,139,769,0.489
100,500,7056,4227,2745,8,62,85,30,95,669,0.402
100,500,7056,1060,5912,8,13,68,23,178,590,0.442
100,500,7056,2605,4367,8,36,87,16,91,589,0.379
100,500,7056,6151,821,8,87,42,35,106,898,0.496
100,500,7056,1982,4990,8,27,12,26,166,369,0.64
100,500,7056,3012,3960,8,43,45,36,121,572,0.512
100,500,7056,3714,3258,8,56,12,25,142,236,0.695
100,500,7056,4135,2837,8,61,13,26,108,440,0.516
100,500,7056,5397,1575,8,78,17,22,137,692,0.455
100,500,7056,5364,1608,8,77,42,8,162,620,0.456
100,500,7056,5588,1384,8,80,43,22,110,767,0.46
100,500,7056,1778,5194,8,23,37,34,101,606,0.48
100,500,7056,5753,1219,8,83,10,18,176,508,0.591
100,500,7056,2138,4834,8,30,28,38,128,761,0.562
100,500,7056,5687,1285,8,81,49,31,103,779,0.42
100,500,7056,3612,3360,8,55,62,42,114,780,0.491
100,500,7056,4301,2671,8,63,25,22,119,419,0.58
100,500,7056,3409,3563,8,51,37,17,123,384,0.5
100,500,7056,5138,1834,8,73,51,19,177,542,0.52
100,500,7056,2412,4560,8,35,60,9,95,539,0.391
100,500,7056,2411,4561,8,34,47,20,171,402,0.448
100,500,7056,5163,1809,8,74,90,35,151,1012,0.492
100,500,7056,2011,4961,8,28,87,30,165,818,0.477
100,500,7056,1662,5310,8,21,19,26,139,366,0.552
100,500,7056,984,5988,8,12,19,13,107,470,0.436
