N_individuals,steps,scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,total_crossings,assess_top_sections
100,500,2,10,77,13,177,758,0.422
100,500,2,10,77,13,125,697,0.412
100,500,4,10,25,20,101,869,0.432
100,500,4,10,55,8,99,609,0.389
100,500,4,10,79,18,155,926,0.401
100,500,6,10,30,26,177,735,0.454
100,500,4,10,17,20,101,1145,0.424
100,500,3,10,86,38,111,855,0.46
100,500,4,10,35,8,99,658,0.441
100,500,4,10,17,20,155,2150,0.462
100,500,4,10,35,8,96,565,0.476
100,500,2,10,54,18,155,996,0.575
100,500,5,10,72,18,94,606,0.38
100,500,2,10,79,18,155,851,0.481
100,500,2,10,79,18,100,649,0.371
100,500,2,10,89,30,145,932,0.473
100,500,2,10,83,26,118,832,0.417
100,500,7,10,66,8,168,465,0.404
100,500,4,10,89,30,92,724,0.428
100,500,4,10,43,30,145,1273,0.427
100,500,2,10,66,8,180,793,0.43
100,500,2,10,17,8,168,772,0.622
100,500,4,10,89,30,145,926,0.448
100,500,2,10,66,8,168,656,0.43
100,500,3,10,69,42,139,1080,0.614
100,500,3,10,77,39,100,858,0.487
100,500,2,10,25,39,100,1612,0.527
100,500,7,10,77,42,159,1080,0.52
100,500,4,10,41,35,99,1153,0.435
100,500,2,10,77,39,100,1105,0.458
100,500,2,10,77,39,154,1378,0.512
100,500,7,10,78,30,103,695,0.468
100,500,5,10,25,22,150,444,0.471
100,500,1,10,61,30,103,991,0.55
100,500,1,10,78,30,103,902,0.437
100,500,4,10,69,19,125,907,0.399
100,500,1,10,78,30,133,1055,0.463
100,500,3,10,43,15,119,343,0.431
100,500,1,10,38,35,134,1905,0.745
100,500,6,10,30,36,144,859,0.453
100,500,7,10,38,16,156,167,0.473
100,500,6,10,47,36,144,959,0.466
100,500,5,10,28,22,107,575,0.449
100,500,3,10,57,22,168,383,0.522
100,500,6,10,30,36,144,859,0.453
100,500,6,10,30,36,93,699,0.426
100,500,6,10,14,22,107,622,0.563
100,500,7,10,36,19,115,270,0.43
100,500,3,10,83,21,133,570,0.426
100,500,6,10,28,22,107,610,0.461
100,500,5,10,18,10,113,322,0.407
100,500,2,10,36,15,118,989,0.548
100,500,6,10,28,22,159,680,0.474
100,500,3,10,10,21,133,219,0.758
100,500,3,10,87,34,165,860,0.54
100,500,6,10,30,10,113,616,0.51
100,500,3,10,83,21,133,570,0.426
100,500,3,10,57,16,165,273,0.462
100,500,3,10,83,21,92,616,0.373
100,500,6,10,18,10,113,531,0.687
100,500,6,10,18,10,99,527,0.607
100,500,2,10,49,28,135,1368,0.542
100,500,4,10,79,9,125,607,0.351
100,500,6,10,55,40,123,969,0.451
100,500,6,10,75,34,169,847,0.473
100,500,2,10,81,40,123,1156,0.488
100,500,2,10,55,40,123,1548,0.537
100,500,2,10,55,40,96,1207,0.502
100,500,1,10,19,23,174,1969,0.82
100,500,3,10,89,18,140,666,0.396
100,500,3,10,19,23,92,462,0.537
