"","[run number]","matrix_permeability","perceptual_range","vision_angle","scenario","random-seed","[step]","total_crossings","assess_top_sections","siminputrow"
"245",1,70,33,178,6,-741671208,499,837,0.47,245
"246",1,48,32,176,3,-741671208,499,547,0.735,246
"247",1,37,7,99,7,-741671208,499,413,0.385,247
"248",1,84,12,161,6,-741671208,499,611,0.412,248
"249",1,32,28,116,7,-741671208,499,400,0.438,249
"250",1,40,13,129,2,-741671208,499,941,0.559,250
"251",1,32,33,151,6,-741671208,499,807,0.491,251
"252",1,69,32,171,7,-741671208,499,675,0.455,252
"253",1,50,12,131,3,-741671208,499,350,0.431,253
"254",1,32,18,106,6,-741671208,499,601,0.484,254
"255",1,73,32,172,5,-741671208,499,751,0.514,255
"256",1,69,42,174,3,-741671208,499,1051,0.693,256
"257",1,13,30,100,4,-741671208,499,1226,0.393,257
"258",1,14,33,145,4,-741671208,499,1916,0.437,258
"259",1,36,31,118,4,-741671208,499,1192,0.404,259
"260",1,70,28,98,5,-741671208,499,704,0.43,260
"261",1,12,29,159,1,-741671208,499,2497,0.897,261
"262",1,19,21,142,6,-741671208,499,562,0.552,262
"263",1,79,34,127,4,-741671208,499,946,0.423,263
"264",1,17,16,118,3,-741671208,499,224,0.567,264
"265",1,14,7,165,2,-741671208,499,847,0.638,265
"266",1,45,8,127,5,-741671208,499,435,0.402,266
"267",1,45,15,124,2,-741671208,499,878,0.51,267
"268",1,52,15,109,3,-741671208,499,445,0.411,268
"269",1,40,38,142,4,-741671208,499,1456,0.48,269
"270",1,20,38,112,5,-741671208,499,755,0.483,270
"271",1,32,26,159,3,-741671208,499,406,0.719,271
"272",1,73,29,156,2,-741671208,499,1197,0.464,272
"273",1,73,25,149,2,-741671208,499,1006,0.463,273
"274",1,71,36,108,4,-741671208,499,947,0.43,274
"275",1,41,30,107,1,-741671208,499,1358,0.614,275
"276",1,18,41,160,1,-741671208,499,2764,0.932,276
"277",1,52,7,136,4,-741671208,499,774,0.415,277
"278",1,59,14,135,6,-741671208,499,588,0.449,278
"279",1,77,27,102,1,-741671208,499,854,0.43,279
"280",1,29,20,176,7,-741671208,499,56,0.732,280
"281",1,88,23,102,2,-741671208,499,695,0.4,281
"282",1,53,40,150,6,-741671208,499,1084,0.493,282
"283",1,54,29,132,5,-741671208,499,744,0.417,283
"284",1,25,17,173,1,-741671208,499,1263,0.71,284
"285",1,79,9,137,2,-741671208,499,658,0.388,285
"286",1,82,38,145,6,-741671208,499,944,0.485,286
"287",1,15,10,117,5,-741671208,499,271,0.465,287
"288",1,57,41,173,6,-741671208,499,1255,0.532,288
"289",1,56,39,164,5,-741671208,499,993,0.534,289
"290",1,47,40,114,6,-741671208,499,900,0.452,290
"291",1,44,36,136,5,-741671208,499,871,0.472,291
"292",1,70,38,173,1,-741671208,499,1598,0.7,292
"293",1,68,16,173,1,-741671208,499,893,0.548,293
"294",1,24,26,149,6,-741671208,499,669,0.456,294
"295",1,43,34,91,5,-741671208,499,696,0.407,295
"296",1,45,26,179,2,-741671208,499,1672,0.628,296
"297",1,64,7,93,4,-741671208,499,572,0.357,297
"298",1,60,32,127,6,-741671208,499,860,0.459,298
"299",1,18,9,124,3,-741671208,499,214,0.444,299
"300",1,53,41,97,3,-741671208,499,923,0.555,300
"301",1,61,38,103,3,-741671208,499,902,0.537,301
"302",1,35,39,104,3,-741671208,499,939,0.659,302
"303",1,50,7,134,5,-741671208,499,457,0.394,303
"304",1,65,8,167,6,-741671208,499,522,0.431,304
"305",1,23,31,104,3,-741671208,499,733,0.66,305
"306",1,64,17,177,5,-741671208,499,520,0.438,306
"307",1,59,34,161,1,-741671208,499,1725,0.733,307
"308",1,19,16,118,6,-741671208,499,577,0.643,308
"309",1,22,33,178,3,-741671208,499,698,0.888,309
"310",1,79,13,101,3,-741671208,499,588,0.391,310
"311",1,45,7,92,2,-741671208,499,631,0.376,311
"312",1,67,6,97,3,-741671208,499,597,0.369,312
"313",1,36,14,111,5,-741671208,499,349,0.456,313
"314",1,62,21,115,7,-741671208,499,536,0.418,314
"315",1,32,21,159,6,-741671208,499,684,0.494,315
"316",1,34,24,119,2,-741671208,499,1190,0.617,316
"317",1,18,10,133,6,-741671208,499,566,0.712,317
"318",1,15,18,156,5,-741671208,499,371,0.612,318
"319",1,12,15,101,1,-741671208,499,986,0.587,319
"320",1,76,10,107,1,-741671208,499,648,0.375,320
"321",1,11,12,180,1,-741671208,499,1089,0.657,321
"322",1,19,21,114,6,-741671208,499,627,0.585,322
"323",1,87,32,163,2,-741671208,499,1133,0.462,323
"324",1,26,20,158,5,-741671208,499,478,0.519,324
"325",1,40,14,178,5,-741671208,499,348,0.537,325
"326",1,73,20,117,5,-741671208,499,581,0.411,326
"327",1,10,37,176,2,-741671208,499,3200,0.651,327
"328",1,57,39,143,2,-741671208,499,1645,0.523,328
"329",1,25,29,178,6,-741671208,499,758,0.516,329
"330",1,39,34,178,5,-741671208,499,780,0.481,330
"331",1,15,10,176,5,-741671208,499,65,0.754,331
"332",1,51,31,156,6,-741671208,499,881,0.426,332
"333",1,66,15,135,6,-741671208,499,614,0.419,333
"334",1,20,8,134,6,-741671208,499,529,0.616,334
"335",1,41,9,146,7,-741671208,499,331,0.438,335
"336",1,87,14,180,7,-741671208,499,552,0.391,336
"337",1,43,37,103,1,-741671208,499,1394,0.645,337
"338",1,43,20,124,3,-741671208,499,421,0.482,338
"339",1,56,12,90,1,-741671208,499,718,0.401,339
"340",1,28,19,103,5,-741671208,499,471,0.463,340
"341",1,23,22,98,7,-741671208,499,317,0.435,341
"342",1,16,22,142,7,-741671208,499,67,0.716,342
"343",1,56,25,122,3,-741671208,499,624,0.538,343
"344",1,24,27,105,6,-741671208,499,679,0.437,344
"345",1,52,12,99,2,-741671208,499,603,0.454,345
"346",1,36,37,167,2,-741671208,499,2323,0.572,346
"347",1,61,17,117,6,-741671208,499,685,0.391,347
"348",1,65,12,147,6,-741671208,499,559,0.424,348
"349",1,79,40,165,5,-741671208,499,924,0.525,349
"350",1,51,37,117,6,-741671208,499,893,0.456,350
"351",1,80,38,178,3,-741671208,499,897,0.622,351
"352",1,84,6,117,1,-741671208,499,635,0.37,352
"353",1,70,41,91,7,-741671208,499,818,0.422,353
"354",1,66,30,172,6,-741671208,499,793,0.455,354
"355",1,33,18,101,4,-741671208,499,946,0.413,355
"356",1,74,38,130,3,-741671208,499,868,0.529,356
"357",1,29,16,97,2,-741671208,499,824,0.552,357
"358",1,29,40,163,5,-741671208,499,1011,0.495,358
"359",1,52,13,139,7,-741671208,499,311,0.473,359
"360",1,15,31,161,5,-741671208,499,732,0.429,360
"361",1,53,42,139,3,-741671208,499,1103,0.677,361
"362",1,54,41,173,6,-741671208,499,1043,0.516,362
"363",1,80,17,157,2,-741671208,499,762,0.429,363
"364",1,38,13,112,7,-741671208,499,354,0.458,364
"365",1,36,6,109,4,-741671208,499,643,0.426,365
"366",1,19,16,92,4,-741671208,499,858,0.515,366
"367",1,72,18,93,7,-741671208,499,492,0.394,367
"368",1,66,12,161,2,-741671208,499,678,0.494,368
"369",1,72,11,139,7,-741671208,499,528,0.386,369
"370",1,26,14,142,6,-741671208,499,573,0.611,370
"371",1,79,24,171,6,-741671208,499,695,0.42,371
"372",1,69,32,155,6,-741671208,499,928,0.429,372
"373",1,28,22,147,7,-741671208,499,169,0.509,373
"374",1,16,18,148,4,-741671208,499,1432,0.559,374
"375",1,31,28,109,4,-741671208,499,1297,0.373,375
"376",1,24,42,175,2,-741671208,499,3048,0.658,376
"377",1,61,26,136,6,-741671208,499,721,0.409,377
"378",1,67,29,164,5,-741671208,499,795,0.433,378
"379",1,77,11,109,6,-741671208,499,583,0.384,379
"380",1,63,31,139,5,-741671208,499,739,0.455,380
"381",1,64,8,154,6,-741671208,499,566,0.417,381
"382",1,59,8,105,5,-741671208,499,443,0.377,382
"383",1,16,20,132,5,-741671208,499,380,0.555,383
"384",1,64,35,108,4,-741671208,499,898,0.434,384
"385",1,84,5,132,4,-741671208,499,635,0.362,385
"386",1,30,27,138,5,-741671208,499,697,0.433,386
"387",1,26,6,110,5,-741671208,499,413,0.404,387
"388",1,51,6,164,4,-741671208,499,607,0.47,388
"389",1,57,14,121,5,-741671208,499,482,0.407,389
"390",1,55,10,149,5,-741671208,499,379,0.409,390
"391",1,10,16,169,7,-741671208,499,0,0,391
"392",1,63,34,157,5,-741671208,499,859,0.485,392
"393",1,83,30,119,3,-741671208,499,721,0.417,393
"394",1,22,32,168,6,-741671208,499,765,0.459,394
"395",1,67,14,121,2,-741671208,499,699,0.423,395
"396",1,32,41,166,4,-741671208,499,1871,0.511,396
"397",1,54,26,177,2,-741671208,499,1366,0.589,397
"398",1,45,29,154,4,-741671208,499,1236,0.418,398
"399",1,23,21,143,4,-741671208,499,1401,0.495,399
"400",1,11,41,110,5,-741671208,499,831,0.446,400
"401",1,38,9,171,5,-741671208,499,288,0.424,401
"402",1,89,31,115,6,-741671208,499,788,0.42,402
"403",1,81,35,122,6,-741671208,499,816,0.408,403
"404",1,61,41,150,1,-741671208,499,1648,0.716,404
"405",1,58,35,94,1,-741671208,499,1166,0.534,405
"406",1,32,16,135,5,-741671208,499,438,0.507,406
"407",1,17,35,142,3,-741671208,499,891,0.916,407
"408",1,41,33,96,3,-741671208,499,771,0.56,408
"409",1,85,11,127,5,-741671208,499,521,0.415,409
"410",1,38,8,92,6,-741671208,499,528,0.422,410
"411",1,19,8,168,5,-741671208,499,153,0.484,411
"412",1,23,27,130,2,-741671208,499,1656,0.616,412
"413",1,67,9,119,6,-741671208,499,720,0.388,413
"414",1,81,38,95,3,-741671208,499,864,0.443,414
"415",1,65,19,102,5,-741671208,499,536,0.409,415
"416",1,17,40,153,4,-741671208,499,2129,0.514,416
"417",1,87,5,146,5,-741671208,499,460,0.376,417
"418",1,67,25,106,6,-741671208,499,683,0.401,418
"419",1,28,39,178,4,-741671208,499,1956,0.512,419
"420",1,47,36,167,3,-741671208,499,937,0.764,420
"421",1,79,18,137,4,-741671208,499,635,0.436,421
"422",1,11,8,142,1,-741671208,499,826,0.569,422
"423",1,70,25,172,5,-741671208,499,572,0.437,423
"424",1,58,40,109,5,-741671208,499,800,0.479,424
"425",1,46,37,105,2,-741671208,499,1334,0.509,425
"426",1,48,35,119,7,-741671208,499,697,0.445,426
"427",1,84,34,141,6,-741671208,499,827,0.434,427
"428",1,29,26,98,4,-741671208,499,1050,0.385,428
"429",1,47,7,164,2,-741671208,499,782,0.477,429
"430",1,55,12,168,3,-741671208,499,261,0.433,430
"431",1,18,13,126,2,-741671208,499,1056,0.673,431
"432",1,35,15,162,3,-741671208,499,141,0.56,432
"433",1,14,13,176,6,-741671208,499,591,0.848,433
"434",1,70,39,150,4,-741671208,499,1273,0.48,434
"435",1,25,35,153,3,-741671208,499,826,0.856,435
"436",1,72,40,104,3,-741671208,499,1030,0.498,436
"437",1,61,36,114,2,-741671208,499,1169,0.477,437
"438",1,52,30,167,4,-741671208,499,1205,0.421,438
"439",1,68,8,167,1,-741671208,499,625,0.435,439
"440",1,60,15,93,3,-741671208,499,500,0.378,440
"441",1,73,6,144,2,-741671208,499,616,0.385,441
"442",1,82,28,165,1,-741671208,499,975,0.461,442
"443",1,22,27,130,5,-741671208,499,564,0.417,443
"444",1,41,16,132,2,-741671208,499,980,0.582,444
"445",1,14,41,167,5,-741671208,499,821,0.564,445
"446",1,28,40,126,3,-741671208,499,1009,0.8,446
"447",1,23,37,124,1,-741671208,499,1850,0.845,447
"448",1,36,28,118,4,-741671208,499,1211,0.392,448
"449",1,50,33,172,4,-741671208,499,1276,0.507,449
"450",1,15,41,178,5,-741671208,499,870,0.552,450
"451",1,30,8,180,2,-741671208,499,793,0.657,451
"452",1,46,34,151,4,-741671208,499,1311,0.447,452
"453",1,26,28,145,5,-741671208,499,684,0.412,453
"454",1,25,39,105,6,-741671208,499,734,0.414,454
"455",1,36,35,132,4,-741671208,499,1375,0.461,455
"456",1,48,40,165,2,-741671208,499,2082,0.575,456
"457",1,20,32,168,5,-741671208,499,788,0.435,457
"458",1,28,23,158,6,-741671208,499,586,0.507,458
"459",1,28,34,133,3,-741671208,499,797,0.779,459
"460",1,67,19,140,6,-741671208,499,600,0.437,460
